symbol,z_number,a_number,mass (amu),spin,abundance (%),half_life (year),coherent_scattering_length (fm),incoherent_scattering_length (fm),coherent_cross_section (barn),incoherent_cross_section (barn),scattering_cross_section (barn),absorption_cross_section (barn)
Hg,80,198,197.966769177,0(+),10.1,,,,,,,2.0
Hg,80,199,198.968280994,1/2(+),17.0,,(16.9+0j),(±15.500000+0.000000j),36.0,30.0,66.0,2150.0
Hg,80,200,199.968326941,0(+),23.1,,,,,,,<60.000000
Hg,80,201,200.970303054,3/2(-),13.2,,,,,,,7.8
Hg,80,202,201.970643604,0(+),29.6,,,,,,,4.89
Hg,80,204,203.973494037,0(+),6.8,,,,,,,0.43
Tl,81,,204.3835,,,,(8.776+0j),,9.678,0.21,9.89,3.43
Tl,81,203,202.972344098,1/2(+),29.524,,(6.99+0j),(1.06+0j),6.14,0.14,6.28,11.4
Tl,81,205,204.974427318,1/2(+),70.476,,(9.52+0j),(-0.242+0j),11.39,0.007,11.4,0.104
Pb,82,,207.04,,,,(9.405+0j),,11.115,0.003,11.118,0.171
Pb,82,204,203.973043506,0(+),1.4,,(9.9+0j),,12.3,,12.3,0.65
Pb,82,206,205.97446521,0(+),24.1,,(9.22+0j),,10.68,,10.68,0.03
Pb,82,207,206.975896821,1/2(-),22.1,,(9.28+0j),(0.14+0j),10.82,0.002,10.82,0.699
Pb,82,208,207.976652005,0(+),52.4,,(9.5+0j),,11.34,,11.34,0.00048
Bi,83,209,208.980398599,9/2(-),100.0,,(8.532+0j),(0.259+0j),9.148,0.0084,9.156,0.0338
Ra,88,226,226.025408186,0(+),,1600.0,(10+0j),,13.0,,13.0,12.8
Ac,89,,,,,,,,,,,
Th,90,232,232.038053606,0(+),100.0,,(10.31+0j),,13.36,,13.36,7.37
Pa,91,231,231.0358825,3/2(-),,32800.0,(9.1+0j),,10.4,0.1,10.5,200.6
U,92,,238.02891,,,,(8.417+0j),,8.903,0.005,8.908,7.57
U,92,233,233.039634294,5/2(+),,159000.0,(10.1+0j),(±1.000000+0.000000j),12.8,0.1,12.9,574.7
U,92,234,234.040950296,0(+),0.005,,(12.4+0j),,19.3,,19.3,100.1
U,92,235,235.043928117,7/2(-),0.72,,(10.47+0j),(±1.300000+0.000000j),13.78,0.2,14.0,680.9
U,92,238,238.050786936,0(+),99.275,,(8.402+0j),,8.871,,8.871,2.68
Np,93,237,237.04817164,5/2(+),,2140000.0,(10.55+0j),,14.0,0.5,14.5,175.9
Pu,94,,,,,,,,,,,
Pu,94,238,238.049558175,0(+),,87.74,(14.1+0j),,25.0,,25.0,558.0
Pu,94,239,239.052161596,1/2(+),,2410000.0,(7.7+0j),(±1.300000+0.000000j),7.5,0.2,7.7,1017.3
Pu,94,240,240.05381174,0(+),,6560.0,(3.5+0j),,1.54,,1.54,289.6
Pu,94,242,242.058740979,0(+),,376000.0,(8.1+0j),,8.2,,8.2,18.5
Am,95,243,243.061379889,5/2(-),,7370.0,(8.3+0j),(±2.000000+0.000000j),8.7,0.3,9.0,75.3
Cm,96,,,,,,,,,,,
Cm,96,244,244.062750622,0(+),,18.1,(9.5+0j),,11.3,,11.3,16.2
Cm,96,246,246.067222016,0(+),,4700.0,(9.3+0j),,10.9,,10.9,1.36
Cm,96,248,248.072349086,0(+),,350000.0,(7.7+0j),,7.5,,7.5,3.0
